file name,MVI_0006.MP4,,,,,,,,,,
parent involvement,4,,,,,,,,,,
step,3,2,5,5,5,5,5,5,6,7,8
time start,1:11,,,,,,,,,,
time stop,1:16,1:17,1:21,1:25,1:28,1:30,1:33,1:35,1:36,1:37,1:40
attempted step before prompt,0,2,5,0,0,0,0,0,0,7,8
attempted step successfully executed before prompt,,2,1,,,,,,,1,
P / R / P+R,1,0,1,1,1,1,1,1,1,0,0
P verbal,2,,2,2,2,2,2,2,2,,
vebal used,soap first,,"; soap first, soap;",more,"wash your hands, more water",rinse more,"no no play, no playing",rinse,"ok, turn off",,
P gesture,,,3,0,0,0,0,0,0,,
P reward,,,,,,,,,,,
reward used,,,,,,,,,,,
R verbal,,,,,,,,,,,
R gesture,,,,,,,,,,,
R attention grabber,,,,,,,,,,,
R reward,,,,,,,,,,,
C looks at P/R,1,0,1,0,0,0,0,0,0,0,0
C smiles,1,0,0,0,0,0,0,0,0,0,
C murmurs,1,0,0,0,0,0,0,0,0,0,
C distracted,0,0,0,0,0,1,0,0,0,0,
attempted step after prompt,3,,5,5,5,0,5,0,6,,
attempted step successfully executed after prompt,2,,2,2,1,,1,,2,,
attempted step is correct although different from prompt,,,,,,0,,0,,,
time 1st prompt,01:12.126,\,01:17.165,01:21.834,01:25.357,01:27.835,01:30.398,01:32.842,01:34.948,\,
time C attempts step,01:13.330,01:15.726,01:16.543,01:21.834,01:25.907,\,01:30.925,\,01:35.153,01:35.824,
time C stops step,01:15.017,\,01:20.713,01:23.281,01:27.471,\,01:32.375,\,\,01:37.255,
number of prompts till C executes correct step - parent,1,0,0,1,1,1,1,1,1,0,
number of prompts till C executes correct step - robot,0,0,0,0,0,0,0,0,0,0,
C stops correct step before next prompt,1,\,1,1,1,\,1,\,\,1,
number of prompts till C stops correct step - parent,0,\,2,0,0,\,0,\,\,0,
number of prompts till C stops correct step - robot,0,\,0,0,0,\,0,\,\,0,
number of presses till C stops soap,2,,,,,,,,,,
