file name,MVI_0007.MP4,,,,,,,,,,,,,
parent involvement,4,,,,,,,,,,,,,
step,3,4,2,5,5,5,5,5,5,5,5,6,7,8
time start,0:21,,,,,,,,,,,,,
time stop,0:22,0:27,0:29,0:33,0:34,0:37,0:40,0:42,0:44,0:46,0:49,0:51,0:56,0:58
attempted step before prompt,3,,,5,0,0,0,0,0,0,0,0,7,8
attempted step successfully executed before prompt,2,,,1,,,,,,,,,2,
P / R / P+R,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P verbal,2,2,2,2,2,2,2,2,2,2,2,2,2,
vebal used,soap;,; lather first; soap soap soap;,turn on the water,rinse; rinse with water;,rinse properly;,rinse more;,more;,more;,more;,more water;,rinse with water;,turn off the water;,dry properly; more; dry more;,
P gesture,0,3,0,0,0,1,0,0,0,1,3,0,0,
P reward,,,,,,,,,,,,,,1
reward used,,,,,,,,,,,,,,"okay, good job"
R verbal,,,,,,,,,,,,,,
R gesture,,,,,,,,,,,,,,
R attention grabber,,,,,,,,,,,,,,
R reward,,,,,,,,,,,,,,
C looks at P/R,0,0,0,0,0,0,0,0,1,1,1,1,1,
C smiles,1,0,0,0,0,0,0,0,0,0,0,0,0,
C murmurs,0,0,0,0,0,0,0,0,1,0,0,0,1,
C distracted,0,0,0,0,1,0,0,1,0,0,0,0,0,
attempted step after prompt,3,4,2,5,0,5,5,5,5,0,5,6,7,
attempted step successfully executed after prompt,\,2,2,2,,2,1,1,1,,2,2,2,
attempted step is correct although different from prompt,,,,,0,,,,,0,,,,
time 1st prompt,00:20.795,00:22.808,00:27.049,00:29.463,00:33.093,00:34.321,00:37.500,00:39.840,00:42.810,00:44.651,00:46.134,00:49.253,00:51.516,
time C attempts step,00:20.873,00:24.099,00:27.417,00:28.326,\,00:35.315,00:38.236,00:40.934,00:43.208,\,00:46.551,00:49.901,00:50.525,
time C stops step,00:22.471,00:27.049,\,00:33.087,\,00:37.175,00:39.351,00:41.675,00:43.888,\,00:48.194,\,00:55.821,
number of prompts till C executes correct step - parent,0,1,0,0,1,1,1,1,1,1,1,1,0,
number of prompts till C executes correct step - robot,0,0,0,0,0,0,0,0,0,0,0,0,0,
C stops correct step before next prompt,1,0,\,1,\,1,1,1,1,\,1,\,1,
number of prompts till C stops correct step - parent,0,2,\,2,\,0,0,0,0,\,0,\,3,
number of prompts till C stops correct step - robot,0,0,\,0,\,0,0,0,0,\,0,\,0,
number of presses till C stops soap,2,,,,,,,,,,,,,
