file name,MVI_0009.MP4,,,,,,,,,,,,,,,,,,,
parent involvement,4,,,,,,,,,,,,,,,,,,,
step,3,4,4,4,5,5,5,5,6,7,2,2,2,2,2,5,5,6,7,8
time start,2:11,,,,,,,,,,,,,,,,,,,
time stop,2:13,2:14,2:19,2:24,2:26,2:28,2:31,2:33,2:35,2:37,2:41,2:43,2:45,2:49,2:50,2:55,3:02,3:04,3:08,3:10
attempted step before prompt,3,2,5,0,0,0,0,0,0,0,7,7,0,0,,5,0,0,7,8
attempted step successfully executed before prompt,2,2,2,,,,,,,,2,2,,,,1,,,2,
P / R / P+R,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
P verbal,,0,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,
vebal used,,,"soap first, soap;",wash hands properly; don't play with the bubble; wash hands;,water [C's name],more;,more please;,more please;,turn off the water;,towel; uh-oh;,turn on the water again; turn on the water; wash your hands;,wash your hands;,wash your hands; you have some more bubbles,"so wash your hands; no no no, no more soap;",okay;,Is it okay?,wash your hands more; more water please; more water;,turn off the water;,,
P gesture,,3,0,0,2,2,2,2,0,,2,2,2,2,2,0,1,0,0,
P reward,,,,,,,,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,,,,,,,,
R verbal,,,,,,,,,,,,,,,,,,,,
R gesture,,,,,,,,,,,,,,,,,,,,
R attention grabber,,,,,,,,,,,,,,,,,,,,
R reward,,,,,,,,,,,,,,,,,,,,
C looks at P/R,,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,
C smiles,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
C murmurs,,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,
C distracted,,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,
attempted step after prompt,,2,5,0,5,5,5,5,6,0,7,0,0,3,2,0,5,6,7,
attempted step successfully executed after prompt,,\,2,,1,2,2,1,2,,2,,,2,2,,1,2,2,
attempted step is correct although different from prompt,,0,1,0,,,,,,0,0,1,0,0,,0,,,,
time 1st prompt,\,02:14.163,02:15.165,02:19.075,02:23.543,02:26.510,02:28.452,02:31.399,02:33.634,02:35.880,02:37.438,02:42.055,02:43.250,02:44.945,02:48.826,02:53.961,02:55.545,03:02.434,03:06.109,
time C attempts step,02:11.136,02:14.163,02:14.355,\,02:25.021,02:26.833,02:28.974,02:31.869,02:34.616,\,02:37.523,02:42.451,\,02:45.468,02:49.918,02:50.516,02:56.213,03:03.220,03:03.951,
time C stops step,02:12.996,\,02:19.075,\,02:26.187,02:27.985,02:30.700,02:33.168,\,\,\,\,\,\,\,02:54.781,03:02.006,\,03:07.766,
number of prompts till C executes correct step - parent,0,0,0,3,1,1,1,1,1,2,3,1,2,2,1,0,1,1,0,
number of prompts till C executes correct step - robot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C stops correct step before next prompt,1,\,1,\,1,1,1,1,\,\,\,\,\,\,\,1,1,\,1,
number of prompts till C stops correct step - parent,0,\,1,\,0,0,0,0,\,\,\,\,\,\,\,1,2,\,1,
number of prompts till C stops correct step - robot,0,\,0,\,0,0,0,0,\,\,\,\,\,\,\,0,0,\,0,
number of presses till C stops soap,3,,,,,,,,,,,,,,,,,,,
