file name,CIMG1197.AVI,,,,,,,,,,,
parent involvement,0,,,,,,,,,,,
step,2,2,2,5,5,5,9,9,5,6,7,8
time start,3:02,,,,,,,,,,,
time stop,3:12,3:18,3:19,3:23,3:28,3:30,3:34,3:41,3:45,3:47,3:52,3:54
attempted step before prompt,0,3,0,5,0,7,8,8,5,6,7,8
attempted step successfully executed before prompt,,2,,2,,2,\,\,2,2,2,
P / R / P+R,3,3,1,,2,0,3,1,0,2,0,
P verbal,2,,2,,,,2,1,,,,
vebal used,turn on the water;,turn on the water;,water [C's name];,,,,wash your hands;,follow the robot;,,,,
P gesture,0,,0,,,,2,1,,,,
P reward,,,,,,,,,,,,
reward used,,,,,,,,,,,,
R verbal,2,2,,,2,,2,,,2,,
R gesture,4,4,,,4,,4,,,4,,
R attention grabber,1,,,,,,,,,,,
R reward,,,,,,,,,,,,
C looks at P/R,2,0,0,0,2,0,3,1,0,0,0,
C smiles,0,1,0,0,0,0,0,1,0,0,1,
C murmurs,0,0,0,0,0,0,0,0,0,0,1,
C distracted,0,0,0,0,0,0,0,0,0,0,0,
attempted step after prompt,0,3,2,,5,,6,2,,6,,
attempted step successfully executed after prompt,,\,2,,1,,2,2,,\,,
attempted step is correct although different from prompt,0,0,,,,0,0,1,,,,
time 1st prompt,03:03.145,03:13.510,03:15.548,\,03:23.419,\,03:30.141,03:36.895,\,03:45.677,\,
time C attempts step,\,03:12.474,03:17.770,03:18.641,03:25.067,03:27.740,03:31.813,03:39.396,03:40.832,03:45.279,03:46.777,
time C stops step,\,\,\,03:23.822,03:26.245,\,\,\,03:42.563,\,03:49.563,
number of prompts till C executes correct step - parent,1,1,1,0,0,0,1,1,0,0,0,
number of prompts till C executes correct step - robot,1,1,\,0,1,0,1,0,0,0,0,
C stops correct step before next prompt,\,\,\,1,1,\,\,\,1,\,1,
number of prompts till C stops correct step - parent,\,\,\,0,0,\,\,\,0,\,0,
number of prompts till C stops correct step - robot,\,\,\,0,0,\,\,\,0,\,0,
number of presses till C stops soap,,5,,,,,,,,,,
