file name,CIMG1202.AVI,,,,,,,,,,,,,,,,,,,,,,,,,,
parent involvement,0,,,,,,,,,,,,,,,,,,,,,,,,,,
step,3,2,2,5,4,4,4,5,5,5,5,5,5,5,6,7,6,6,6,7,7,7,7,7,7,7,8
time start,2:52,,,,,,,,,,,,,,,,,,,,,,,,,,
time stop,2:59,3:01,3:06,3:09,3:12,3:13,3:15,3:20,3:21,3:22,3:24,3:27,3:28,3:32,3:34,3:36,3:37,3:38,3:41,3:44,3:46,3:46,3:51,3:55,3:58,4:06,4:10
attempted step before prompt,3,2,5,5,,7,,,6,8,,0,0,,6,8,,5,,8,,5,,0,0,0,8
attempted step successfully executed before prompt,2,2,2,1,,2,,,2,,,,,,2,,,2,,,,2,,,,,
P / R / P+R,3,0,2,0,2,0,1,3,0,2,1,,2,3,0,1,2,0,1,2,1,0,3,1,2,3,2
P verbal,2,,,,,,2,2,,,2,1,,2,,0,,,2,,2,,2,0,,2,
vebal used,that's it,,,,,,"[C's name], scrub your hands;",rinse;,,,rinse your hand; ,"robot says rinse your hand, rinse your hand;",,rinse your hand;,,,,,turn off the water;,,dry your hand; ,,dry your hand;,,,"dry your hands, dry your hands; dry; dry;",
P gesture,0,,,,,,2,2,,,5,2,,2,,1,,,0,,2,,0,2,,7,
P reward,,,,,,,,,,,,,,,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,,,,,,,,,,,,,,,
R verbal,2,,2,,2,,,2,,2,,,2,,,,2,,,2,,,2,,2,,
R gesture,4,,4,,3,,,4,,4,,,4,,,,4,,,4,,,4,,4,,
R attention grabber,,,,,,,,,,,,,,,,,,,,,,,,,,,
R reward,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,1
C looks at P/R,0,0,0,0,0,0,1,1,0,0,1,0,3,1,0,1,0,0,0,0,1,2,0,1,2,1,0
C smiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
C murmurs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,
C distracted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
attempted step after prompt,3,,5,,6,,4,5,,8,0,5,6,5,,2,2,,6,8,2,,0,5,0,7,
attempted step successfully executed after prompt,\,,2,,2,,2,2,,,,2,\,1,,\,2,,2,,2,,,1,,2,
attempted step is correct although different from prompt,,,1,,0,0,,,0,0,0,,0,,,0,0,,,0,0,0,0,0,0,,
time 1st prompt,02:55.390,\,03:01.666,\,03:08.737,\,03:13.194,03:14.514,\,03:20.678,03:22.218,03:23.645,03:27.368,03:28.279,\,03:33.695,03:35.921,\,03:37.668,03:41.435,03:43.836,\,03:46.359,03:51.004,03:54.959,03:58.169,
time C attempts step,02:53.975,03:00.247,03:01.033,03:06.518,03:10.717,03:11.925,03:15.435,03:16.393,03:19.834,\,\,03:25.032,,03:29.900,03:32.315,\,03:36.460,03:36.507,03:40.083,\,03:45.045,03:45.780,\,03:52.534,\,04:03.253,
time C stops step,02:59.217,\,03:05.603,03:09.226,\,\,03:15.867,03:18.719,\,\,\,03:27.355,,03:30.620,\,\,\,\,\,\,\,\,\,03:53.010,\,04:06.453,
number of prompts till C executes correct step - parent,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,2,
number of prompts till C executes correct step - robot,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,
C stops correct step before next prompt,0,\,1,0,\,0,0,1,\,\,\,1,\,1,\,\,\,0,\,\,\,0,\,\,\,0,
number of prompts till C stops correct step - parent,1,\,0,0,\,0,0,0,\,\,\,0,\,0,\,\,\,0,\,\,\,\,\,\,\,1,
number of prompts till C stops correct step - robot,0,\,0,0,\,0,0,0,\,\,\,0,\,0,\,\,\,0,\,\,\,\,\,\,\,1,
number of presses till C stops soap,8,,,,,,,,,,,,,,,,,,,,,,,,,,
