file name,CIMG1205.AVI,,,,,,,,,,,,,,
parent involvement,2,,,,,,,,,,,,,,
step,3,4,5,5,5,5,7,7,7,7,7,7,7,6,8
time start,0:43,,,,,,,,,,,,,,
time stop,0:50,0:56,0:58,1:00,1:06,1:07,1:12,1:14,1:15,1:18,1:21,1:25,1:31,1:32,1:36
attempted step before prompt,0,2,5,0,0,6,0,,,,5,0,0,6,8
attempted step successfully executed before prompt,,2,2,,,\,,,,,2,,,2,
P / R / P+R,3,3,3,1,3,3,2,2,1,1,3,3,3,0,
P verbal,2,2,2,0,1,1,,,2,1,2,2,2,,
vebal used,; that's it;,scrub your hands; scrub; robot says scrub;,rinse;,,robot says rinse;,robot says rinse your hand;,,,dry your hands;,robot says dry your hands;,dry your hands;,dry your hands; dry using the towel;,dry your hands;,,
P gesture,2,3,0,1,1,1,,,0,0,1,1,0,,
P reward,1,,,,,,,,,,,,,,
reward used,good job,,,,,,,,,,,,,,
R verbal,2,2,2,,2,,2,2,,,,2,,,
R gesture,4,4,4,,4,,4,4,,,,4,,,
R attention grabber,,,,,,,,,,,,,,,
R reward,,,,,,1,,,,,1,,1,,
C looks at P/R,3,1,3,3,2,2,2,2,1,3,1,3,1,1,
C smiles,1,1,0,0,1,0,0,1,1,1,0,0,0,0,
C murmurs,0,1,0,1,1,0,0,0,1,0,1,0,1,0,
C distracted,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
attempted step after prompt,3,5,5,0,5,0,5,6,7,2,5,5,7,,
attempted step successfully executed after prompt,2,2,2,,2,,2,2,2,2,2,1,2,,
attempted step is correct although different from prompt,,1,,0,,0,0,1,,0,0,0,,,
time 1st prompt,00:44.729,00:49.664,00:56.409,00:58.479,00:59.535,01:05.198,01:07.239,01:11.696,01:13.536,01:15.247,01:17.728,01:21.083,01:24.678,\,
time C attempts step,00:46.101,00:50.595,00:56.356,\,01:00.508,\,01:10.380,01:13.139,01:13.777,01:16.961,01:17.728,01:22.598,01:25.644,01:30.953,
time C stops step,00:49.138,00:55.174,00:57.806,\,01:02.744,\,\,\,01:16.193,\,\,\,01:28.073,\,
number of prompts till C executes correct step - parent,0,0,0,1,1,1,0,0,1,1,1,2,1,0,
number of prompts till C executes correct step - robot,1,1,0,0,0,0,1,1,0,0,0,1,0,0,
C stops correct step before next prompt,0,1,1,\,1,\,\,\,0,\,\,\,1,\,
number of prompts till C stops correct step - parent,2,3,1,\,0,\,\,\,0,\,\,\,0,\,
number of prompts till C stops correct step - robot,0,0,1,\,1,\,\,\,0,\,\,\,0,\,
number of presses till C stops soap,5,,,,,,,,,,,,,,
