file name,CIMG1210.AVI,,,,,,,,,,,,,,
parent involvement,1,,,,,,,,,,,,,,
step,2,2,2,5,3,2,5,5,5,6,6,6,7,7,8
time start,0:51,,,,,,,,,,,,,,
time stop,0:57,1:02,1:04,1:07,1:20,1:23,1:26,1:33,1:41,1:44,1:45,1:47,1:51,1:55,1:58
attempted step before prompt,0,0,6,5,6,,5,0,0,0,0,0,7,8,
attempted step successfully executed before prompt,,,2,2,2,,1,,,,,,2,,
P / R / P+R,3,3,3,0,3,3,3,3,3,3,1,1,2,3,3
P verbal,2,2,2,,2,0,0,0,0,0,0,0,,0,0
vebal used,; turn on the water;,water;,turn it on;,,enough [C's name];,,,,,,,,,,
P gesture,2,2,1,,2,2,2,6,6,1,6,7,,1,2
P reward,,,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,,,
R verbal,2,2,,,2,2,2,2,2,2,,,2,,
R gesture,4,4,,,4,4,4,4,4,4,,,4,,
R attention grabber,,,,,,,,,,,,,,,
R reward,,,1,,,,,,1,,,,,1,1
C looks at P/R,3,0,1,2,3,3,0,0,0,0,0,0,1,1,3
C smiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C murmurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C distracted,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
attempted step after prompt,0,2,2,,3,2,0,5,0,0,0,6,7,7,
attempted step successfully executed after prompt,,2,2,,2,2,,1,,,,2,2,2,
attempted step is correct although different from prompt,0,,,,,,0,,0,0,0,,,,
time 1st prompt,00:53.663,00:57.059,01:02.494,\,01:07.382,01:19.941,01:23.176,01:26.384,01:33.215,01:40.770,01:43.810,01:44.575,01:45.687,01:50.198,
time C attempts step,\,01:01.181,01:03.936,01:04.255,01:09.162,01:21.796,01:22.865,01:27.204,\,\,\,01:46.385,01:47.422,01:50.902,
time C stops step,\,\,\,01:05.376,01:20.238,\,01:24.194,01:32.897,\,\,\,\,01:49.564,01:54.851,
number of prompts till C executes correct step - parent,2,1,1,0,1,1,1,1,1,1,1,1,0,1,
number of prompts till C executes correct step - robot,1,1,0,0,1,1,0,1,1,1,0,0,1,0,
C stops correct step before next prompt,\,\,\,1,0,\,1,1,\,\,\,\,1,0,
number of prompts till C stops correct step - parent,\,\,\,0,2,\,1,1,\,\,\,\,0,0,
number of prompts till C stops correct step - robot,\,\,\,0,2,\,1,1,\,\,\,\,0,1,
number of presses till C stops soap,,,,,20,,,,,,,,,,
