file name,CIMG1212.AVI,,,,,,,,,,,,
parent involvement,1,,,,,,,,,,,,
step,2,2,4,5,5,5,5,5,6,6,7,8,8
time start,0:33,,,,,,,,,,,,
time stop,0:36,0:46,0:52,0:56,1:01,1:04,1:07,1:12,1:14,1:16,1:21,1:24,1:26
attempted step before prompt,0,,,6,0,0,0,0,0,,7,8,8
attempted step successfully executed before prompt,,,,\,,,,,,,2,,
P / R / P+R,3,3,3,1,3,2,3,3,3,1,2,3,
P verbal,0,0,0,0,0,,0,0,0,0,,0,
vebal used,,,,,,,,,,,,,
P gesture,2,6,4,3,3,,2,2,2,2,,6,
P reward,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,
R verbal,2,2,2,,2,2,2,,2,,,,
R gesture,4,4,4,,4,4,4,,4,,,,
R attention grabber,,,1,,,,,,,,,,
R reward,,,,,,,,1,,,1,1,
C looks at P/R,3,0,3,1,3,3,3,1,0,0,1,3,
C smiles,0,0,0,0,0,0,0,0,0,0,0,0,
C murmurs,0,0,0,0,0,0,0,1,0,1,1,1,
C distracted,1,0,0,0,0,0,1,0,0,0,0,0,
attempted step after prompt,2,3,5,5,5,5,0,5,5,6,8,7,
attempted step successfully executed after prompt,2,2,2,2,2,2,,2,2,2,,2,
attempted step is correct although different from prompt,,1,1,,,,0,,0,,1,1,
time 1st prompt,00:31.438,00:36.383,00:45.940,00:52.136,00:55.825,01:00.644,01:04.419,01:06.515,01:12.330,01:14.276,01:18.284,01:20.979,
time C attempts step,00:36.184,00:37.045,00:46.585,00:53.237,00:59.509,01:01.760,\,01:07.167,01:14.255,01:15.412,01:16.433,01:21.707,
time C stops step,\,00:45.211,00:51.941,00:56.186,01:00.260,01:03.926,\,01:09.943,\,\,01:19.563,01:24.054,
number of prompts till C executes correct step - parent,1,0,1,1,1,0,1,1,1,1,0,1,
number of prompts till C executes correct step - robot,1,0,0,0,1,1,1,0,1,0,0,0,
C stops correct step before next prompt,\,0,1,1,1,1,\,1,\,\,0,0,
number of prompts till C stops correct step - parent,\,1,1,1,0,0,\,0,\,\,0,0,
number of prompts till C stops correct step - robot,\,1,1,0,0,0,\,0,\,\,1,1,
number of presses till C stops soap,,4,,,,,,,,,,,
