file name,CIMG1215.AVI,,,,,,,,,,,,,,,,,
parent involvement,1,,,,,,,,,,,,,,,,,
step,2,2,5,5,5,5,5,6,7,7,7,7,7,7,7,6,6,8
time start,1:00,,,,,,,,,,,,,,,,,
time stop,1:06,1:10,1:16,1:19,1:22,1:29,1:36,1:37,1:39,1:42,1:44,1:48,1:51,1:54,2:01,2:02,2:04,2:08
attempted step before prompt,0,,5,,,6,6,6,7,8,5,3,5,5,,0,,8
attempted step successfully executed before prompt,,,2,,,\,\,2,2,,2,2,2,2,,,,
P / R / P+R,3,3,2,1,3,3,3,2,0,3,0,2,0,2,3,3,1,2
P verbal,0,0,,0,0,0,0,,,0,,,,,0,0,0,
vebal used,,,,,,,,,,,,,,,,,,
P gesture,2,6,,2,2,4,2,,,2,,,,,2,2,2,
P reward,,,,,,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,,,,,,
R verbal,2,2,2,,2,2,2,2,,2,,2,,2,,2,,
R gesture,4,4,4,,4,4,4,4,,4,,4,,4,,4,,
R attention grabber,,,,,,,,,,,,,,1,,,,
R reward,,,1,,,,1,,,,,,,,1,,,1
C looks at P/R,3,0,0,1,1,3,2,2,0,2,3,0,0,3,0,3,1,0
C smiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C murmurs,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,
C distracted,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
attempted step after prompt,3,2,5,5,5,5,5,6,,2,,3,,6,7,7,6,
attempted step successfully executed after prompt,2,2,2,2,2,2,2,\,,2,,\,,\,2,2,2,
attempted step is correct although different from prompt,0,,,,,,,,,0,0,0,0,1,,0,,
time 1st prompt,01:01.867,01:06.452,01:11.917,01:15.977,01:18.954,01:22.008,01:29.482,01:36.673,\,01:39.297,\,01:44.219,\,01:50.676,01:53.884,02:01.331,02:02.473,
time C attempts step,01:06.202,01:09.032,01:09.798,01:16.664,01:19.643,01:23.010,01:31.183,01:36.171,01:37.053,01:41.424,01:41.737,01:44.219,01:47.638,01:53.760,01:55.510,02:02.252,02:04.121,
time C stops step,\,\,01:15.440,01:18.114,01:21.318,01:27.275,01:32.749,\,01:38.773,\,\,\,\,\,01:57.456,\,\,
number of prompts till C executes correct step - parent,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,
number of prompts till C executes correct step - robot,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,
C stops correct step before next prompt,\,\,1,1,1,1,1,\,1,\,\,\,\,\,1,\,\,
number of prompts till C stops correct step - parent,\,\,0,0,0,1,0,\,0,\,\,\,\,\,0,\,\,
number of prompts till C stops correct step - robot,\,\,1,0,0,1,0,\,0,\,\,\,\,\,0,\,\,
number of presses till C stops soap,3,,,,,,,,,,,4,,,,,,
