file name,CIMG1217.AVI,,,,,,,,,,
parent involvement,1,,,,,,,,,,
step,2,2,9,3,4,5,6,6,6,7,8
time start,0:45,,,,,,,,,,
time stop,0:53,0:55,0:58,1:09,1:15,1:26,1:30,1:32,1:36,1:41,1:50
attempted step before prompt,0,3,9,3,,0,,,7,8,8
attempted step successfully executed before prompt,,\,2,2,,,,,2,,
P / R / P+R,3,3,2,2,3,3,2,3,2,3,3
P verbal,0,0,,,0,0,,0,,0,0
vebal used,,,,,,,,,,,
P gesture,2,6,,,6,1,,6,,6,1
P reward,,,,,,,,,,,
reward used,,,,,,,,,,,
R verbal,2,2,,2,,2,2,,2,2,
R gesture,4,4,,4,,4,4,,4,4,
R attention grabber,,,,1,1,,,1,,,
R reward,,,1,,,1,,,,1,1
C looks at P/R,3,0,0,0,0,0,0,0,1,3,3
C smiles,0,0,0,0,0,0,0,0,1,1,
C murmurs,0,0,0,0,1,0,0,1,1,1,
C distracted,0,0,0,0,0,0,1,0,0,0,
attempted step after prompt,0,2,9,3,5,5,5,6,7,7,
attempted step successfully executed after prompt,,2,\,2,2,2,2,2,2,2,
attempted step is correct although different from prompt,0,,,,1,,0,,1,,
time 1st prompt,00:47.381,00:52.517,00:57.312,00:59.920,01:09.292,01:15.277,01:26.017,01:29.519,01:32.995,01:36.444,
time C attempts step,\,00:53.838,00:54.914,00:58.241,01:10.729,01:17.270,\,01:31.562,01:32.076,01:37.764,
time C stops step,\,\,00:56.555,\,01:14.988,01:31.562,\,\,01:34.882,01:40.692,
number of prompts till C executes correct step - parent,1,1,0,0,1,1,0,1,0,1,
number of prompts till C executes correct step - robot,1,1,0,0,0,1,1,0,0,1,
C stops correct step before next prompt,\,\,1,0,1,0,\,\,1,1,
number of prompts till C stops correct step - parent,\,\,0,0,0,0,\,\,0,0,
number of prompts till C stops correct step - robot,\,\,0,3,0,2,\,\,0,0,
number of presses till C stops soap,,,,19,,,,,,,
