file name,CIMG1208.AVI,,,,,,,,,,,
parent involvement,3,,,,,,,,,,,
step,3,3,2,5,5,5,6,6,7,7,7,8
time start,0:24,,,,,,,,,,,
time stop,0:30,0:34,0:39,0:45,0:50,0:53,0:59,1:02,1:03,1:08,1:10,1:17
attempted step before prompt,0,0,0,5,0,0,,,,,7,0
attempted step successfully executed before prompt,,,,2,,,,,,,2,
P / R / P+R,3,1,3,2,3,1,3,3,1,3,0,3
P verbal,0,0,0,,0,0,0,0,0,0,,0
vebal used,,,,,,,,,,,,
P gesture,5,6,6,,5,6,5,6,5,6,,5
P reward,,,,,,,,,,,,
reward used,,,,,,,,,,,,
R verbal,2,,2,2,2,,2,2,,2,,
R gesture,4,,4,4,4,,4,4,,4,,
R attention grabber,,,,,,,,,,,,
R reward,,,,,,,,,,,,1
C looks at P/R,0,0,2,0,1,1,0,0,0,1,0,2
C smiles,1,0,0,1,0,0,0,0,0,1,0,
C murmurs,0,1,0,1,1,1,1,0,0,1,1,
C distracted,0,0,0,0,0,0,0,0,0,1,1,
attempted step after prompt,0,3,2,5,5,5,5,6,2,7,,
attempted step successfully executed after prompt,,2,2,2,2,2,\,2,2,2,,
attempted step is correct although different from prompt,0,,,,,,,,0,,,
time 1st prompt,00:26.010,00:29.704,00:33.892,00:38.688,00:44.950,00:49.514,00:52.796,00:59.370,01:01.527,01:03.076,\,
time C attempts step,\,00:30.736,00:35.590,00:36.274,00:45.729,00:51.374,\,01:00.878,01:02.343,01:05.074,01:08.069,
time C stops step,\,00:31.422,\,00:44.471,00:48.702,00:54.409,\,\,\,01:07.185,01:10.109,
number of prompts till C executes correct step - parent,1,1,1,0,1,1,2,1,1,1,0,
number of prompts till C executes correct step - robot,1,0,1,0,1,0,1,1,0,1,0,
C stops correct step before next prompt,\,0,\,1,1,0,\,\,\,1,1,
number of prompts till C stops correct step - parent,\,1,\,0,0,0,\,\,\,0,0,
number of prompts till C stops correct step - robot,\,0,\,2,0,0,\,\,\,0,0,
number of presses till C stops soap,,1,,,,,,,,,,
