file name,CIMG1212.AVI,,,,,,,,,,,,,,,
parent involvement,1,,,,,,,,,,,,,,,
step,3,2,2,2,6,4,5,5,5,5,6,6,7,7,7,8
time start,0:34,,,,,,,,,,,,,,,
time stop,0:41,0:46,0:54,0:59,1:02,1:09,1:13,1:18,1:22,1:28,1:34,1:38,1:43,1:44,1:48,1:53
attempted step before prompt,0,,,5,0,,0,0,0,0,0,0,7,8,0,0
attempted step successfully executed before prompt,,,,1,,,,,,,,,2,,,
P / R / P+R,3,2,2,2,2,2,1,3,2,2,2,3,2,1,3,3
P verbal,0,,,,,,0,0,,,,0,,0,,
vebal used,,,,,,,,,,,,,,,,
P gesture,6,,,,,,2,2,,,,6,,2,5,
P reward,,,,,,,,,,,,,,,,1
reward used,,,,,,,,,,,,,,,,[clap hands]
R verbal,2,2,2,2,2,2,,2,2,2,2,2,2,,2,
R gesture,4,4,4,4,4,4,,4,4,4,4,4,4,,4,
R attention grabber,,,1,,,,,,,,,,,,,
R reward,,,,,,,,,,,,,,,,1
C looks at P/R,2,0,0,0,0,2,0,0,0,0,2,0,1,3,3,
C smiles,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,
C murmurs,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
C distracted,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
attempted step after prompt,3,4,2,5,5,5,0,5,0,5,0,6,7,0,7,
attempted step successfully executed after prompt,2,1,2,2,1,2,,1,,1,,2,2,,2,
attempted step is correct although different from prompt,,0,,1,0,1,0,,0,,0,,,0,,
time 1st prompt,00:36.260,00:41.089,00:46.181,00:55.253,00:58.923,01:02.175,01:12.140,01:12.661,01:17.532,01:22.366,01:27.906,01:34.355,01:39.195,01:42.551,01:43.750,
time C attempts step,00:38.389,\,00:53.113,00:53.860,01:00.840,01:04.918,\,01:14.148,\,01:24.257,\,01:37.591,01:38.286,\,01:45.350,
time C stops step,00:41.029,\,\,00:58.332,\,01:09.582,\,01:16.476,\,01:26.383,\,\,01:41.838,\,01:48.042,
number of prompts till C executes correct step - parent,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,
number of prompts till C executes correct step - robot,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,
C stops correct step before next prompt,0,\,\,1,\,1,\,1,\,1,\,\,1,\,1,
number of prompts till C stops correct step - parent,1,\,\,0,\,0,\,0,\,0,\,\,0,\,0,
number of prompts till C stops correct step - robot,0,\,\,0,\,1,\,0,\,0,\,\,1,\,0,
number of presses till C stops soap,1,,,,,,,,,,,,,,,
