file name,CIMG1223.AVI,,,,,,,
parent involvement,1,,,,,,,
step,3,6,5,5,6,6,7,8
time start,1:12,,,,,,,
time stop,1:19,1:20,1:27,1:36,1:36,1:41,1:44,1:46
attempted step before prompt,0,,5,6,6,7,8,8
attempted step successfully executed before prompt,,,2,\,2,2,,
P / R / P+R,2,2,3,3,0,2,3,
P verbal,,,0,0,,,0,
vebal used,,,,,,,,
P gesture,,,3,1,,,1,
P reward,,,,,,,,
reward used,,,,,,,,
R verbal,2,2,2,2,,2,,
R gesture,4,4,4,4,,4,,
R attention grabber,,,,,,,,
R reward,,,,1,,,1,
C looks at P/R,0,0,3,3,0,3,3,
C smiles,0,0,0,0,0,0,0,
C murmurs,0,0,1,0,0,0,1,
C distracted,0,0,0,0,0,0,0,
attempted step after prompt,3,2,5,5,,7,7,
attempted step successfully executed after prompt,2,2,2,2,,2,2,
attempted step is correct although different from prompt,,1,,,,1,,
time 1st prompt,01:13.873,01:18.701,01:23.574,01:26.630,\,01:37.057,01:40.686,
time C attempts step,01:14.295,01:19.632,01:20.484,01:26.946,01:35.523,01:36.392,01:41.698,
time C stops step,01:18.638,\,01:25.343,01:32.205,\,01:38.170,01:44.074,
number of prompts till C executes correct step - parent,0,0,0,1,0,0,1,
number of prompts till C executes correct step - robot,1,1,0,1,0,0,0,
C stops correct step before next prompt,0,\,1,1,\,1,0,
number of prompts till C stops correct step - parent,0,\,1,1,\,0,0,
number of prompts till C stops correct step - robot,0,\,1,1,\,0,1,
number of presses till C stops soap,5,,,,,,,
