file name,CIMG1244.AVI,,,,,,,
parent involvement,0,,,,,,,
step,3,2,5,5,5,5,7,6
time start,0:38,,,,,,,
time stop,0:53,0:58,1:02,1:06,1:09,1:12,1:13,1:15
attempted step before prompt,0,,5,5,0,,7,8
attempted step successfully executed before prompt,,,1,1,,,2,
P / R / P+R,2,2,2,2,2,2,0,2
P verbal,,,,,,,,
vebal used,,,,,,,,
P gesture,,,,,,,,
P reward,,,,,,,,
reward used,,,,,,,,
R verbal,2,2,2,2,2,2,,2
R gesture,4,4,4,4,4,4,,4
R attention grabber,,1,,,,,,
R reward,,,,,,,,
C looks at P/R,0,0,0,0,0,0,0,0
C smiles,0,0,0,0,0,0,0,
C murmurs,0,0,0,0,0,0,0,
C distracted,0,0,0,0,0,0,0,
attempted step after prompt,3,2,5,5,5,6,,8
attempted step successfully executed after prompt,2,2,2,1,1,2,,
attempted step is correct although different from prompt,,,,,,0,,
time 1st prompt,00:39.853,00:53.278,00:59.159,01:02.571,01:06.072,01:09.101,\,
time C attempts step,00:41.098,00:55.890,00:57.733,01:01.791,01:07.522,01:10.223,01:11.275,
time C stops step,00:54.165,\,01:00.871,01:05.842,01:09.196,\,01:12.843,
number of prompts till C executes correct step - parent,0,0,0,0,0,0,0,
number of prompts till C executes correct step - robot,1,1,0,0,1,1,0,
C stops correct step before next prompt,0,\,1,1,1,\,1,
number of prompts till C stops correct step - parent,0,\,0,0,0,\,0,
number of prompts till C stops correct step - robot,2,\,1,1,0,\,0,
number of presses till C stops soap,26,,,,,,,
