file name,CIMG1236.AVI,,,,,,,,,,,,,
parent involvement,0,,,,,,,,,,,,,
step,3,2,5,5,5,5,5,2,5,5,5,5,5,8
time start,0:49,,,,,,,,,,,,,
time stop,0:56,0:58,1:08,1:11,1:12,1:15,1:19,1:22,1:24,1:27,1:32,1:36,1:41,1:43
attempted step before prompt,0,,5,0,0,7,8,,0,0,0,7,8,8
attempted step successfully executed before prompt,,,1,,,2,,,,,,2,,
P / R / P+R,2,2,2,2,2,0,2,3,1,3,2,2,3,
P verbal,,,,,,,,0,0,0,,,0,
vebal used,,,,,,,,,,,,,,
P gesture,,,,,,,,6,7,6,,,6,
P reward,,,,,,,,,,,,,,
reward used,,,,,,,,,,,,,,
R verbal,2,2,2,2,2,,2,2,,2,2,2,,
R gesture,4,4,4,4,4,,4,4,,4,4,4,,
R attention grabber,,,,,,,,,,,,,1,
R reward,,,,,,,,,,,,,,
C looks at P/R,0,0,0,0,0,0,0,0,0,0,2,0,1,
C smiles,1,0,1,1,1,1,1,1,1,1,0,1,1,
C murmurs,0,0,1,0,0,1,0,0,0,0,1,1,1,
C distracted,0,0,0,0,0,0,0,0,0,0,0,0,0,
attempted step after prompt,3,2,5,5,6,,8,0,2,5,6,7,7,
attempted step successfully executed after prompt,2,2,1,1,2,,,,2,2,2,2,2,
attempted step is correct although different from prompt,,,,,0,,0,0,,,0,0,0,
time 1st prompt,00:51.381,00:56.397,01:01.369,01:07.746,01:11.028,\,01:14.506,01:18.935,01:22.364,01:23.821,01:27.141,01:31.608,01:35.947,
time C attempts step,00:53.726,00:57.908,00:58.486,01:08.696,01:11.482,01:12.002,01:14.807,\,01:23.167,01:25.419,01:30.349,01:31.295,01:37.380,
time C stops step,00:57.071,\,01:06.123,01:09.947,\,\,\,\,\,01:26.978,\,01:33.455,01:40.562,
number of prompts till C executes correct step - parent,0,0,0,0,0,0,0,1,1,1,0,0,1,
number of prompts till C executes correct step - robot,1,1,0,1,1,0,1,1,0,1,1,0,0,
C stops correct step before next prompt,0,\,1,1,\,\,\,\,\,1,\,1,0,
number of prompts till C stops correct step - parent,0,\,0,0,\,\,\,\,\,0,\,0,0,
number of prompts till C stops correct step - robot,0,\,2,0,\,\,\,\,\,0,\,1,1,
number of presses till C stops soap,6,,,,,,,,,,,,,
